Case Number,Case Title,Requesting Court,Topics,Judgment ECLI,Judgment CELEX,Has AG Opinion,AG Opinion Title,AG Opinion ECLI,Has Summary,Summary CELEX
Case C-250/08.,Case C-250/08. Commission v Belgium,,,ECLI:EU:C:2011:793,62008CJ0250,Yes,Opinion of Advocate General Sharpston delivered on 21 July 2011.,ECLI:EU:C:2011:495,Yes,62008CJ0250_SUM
Case C-253/09.,Case C-253/09. Commission v Hungary,,,ECLI:EU:C:2011:795,62009CJ0253,No,,,Yes,62009CJ0253_SUM
Joined cases C-446/09 and C-495/09.,Joined cases C-446/09 and C-495/09. Philips and Nokia v Lucheng Meijing Industrial and Others,,,ECLI:EU:C:2011:796,62009CJ0446,No,,,Yes,62009CJ0446_SUM
Case C-79/10.,Case C-79/10. Systeme Helmholz v Hauptzollamt Nürnberg,,Reference for a preliminary ruling: Bundesfinanzhof - Germany.,ECLI:EU:C:2011:797,62010CJ0079,No,,,Yes,62010CJ0079_SUM
Case C-687/21,Case C-687/21 BL v MediaMarktSaturn Hagen-Iserlohn,Request for a preliminary ruling from the Amtsgericht Hagen,"Reference for a preliminary ruling – Protection of natural persons with regard to the processing of personal data – Regulation (EU) 2016/679 – Interpretation of Articles 5, 24, 32 and 82 – Assessment of the validity of Article 82 – Inadmissibility of the request for an assessment of validity – Right to compensation for damage caused by data processing which infringes that regulation – Transmission of data to an unauthorised third party on account of an error made by the employees of the controller – Assessment of the appropriateness of the protective measures implemented by the controller – Compensatory function fulfilled by the right to compensation – Effect of the severity of the infringement – Whether necessary to establish the existence of damage caused by that infringement – Concept of ‘non-material damage’",ECLI:EU:C:2024:72,62021CJ0687,No,,,No,
